;Name;X;Y;Z;;A;D;E
1;L;-1,8;3,65;2,3;;-26,2;4,88;28,1
2;R;1,8;3,65;2,3;;26,2;4,88;28,1
3;C1;-2,55;3,4;2,3;;-36,9;4,85;28,3
4;C2;2,55;3,4;2,3;;36,9;4,85;28,3
5;C3;-2,45;0;2,3;;-90;3,36;43,2
6;C4;2,45;0;2,3;;90;3,36;43,2
7;C5;-2,55;-2,9;2,3;;-138,7;4,49;30,8
8;C6;2,55;-2,9;2,3;;138,7;4,49;30,8
9;C7;0;4,5;2,3;;0;5,05;27,1
10;C8;0;-4,1;2,3;;180;4,7;29,3
11;M1;-2,55;3,29;1,24;;-37,8;4,34;16,6
12;M2;2,55;3,29;1,24;;37,8;4,34;16,6
13;M3;-2,4;0;1,24;;-90;2,7;27,3
14;M4;2,45;0;1,24;;90;2,74;26,9
15;M5;-2,47;-2,9;1,24;;-139,5;3,99;18,1
16;M6;2,47;-2,9;1,24;;139,5;3,99;18,1
17;L1;-2;1,5;0,4;;-53,1;2,53;9,1
18;L2;2;1,5;0,4;;53,1;2,53;9,1
19;L3;-2;-1,5;0,4;;-126,9;2,53;9,1
20;L4;2;-1,5;0,4;;126,9;2,53;9,1
21;H1;-1,16;1,44;3,12;;-38,9;3,62;59,5
22;H2;1,16;1,44;3,1;;38,8;3,6;59,5
23;H3;-1,16;-1,44;3,1;;-141,1;3,6;59,5
24;H4;1,16;-1,44;3,12;;141,2;3,62;59,5
25;H5;0;0;2,4;;0;2,4;90
26;SW1+L;-2,4;3,6;0,38;;-33,7;4,34;5
27;SW2+R;2,4;3,6;0,38;;33,7;4,34;5
28;AtmoC;0;4;1,24;;0;4,19;17,2
